title,price,currency,price_uf,price_clp,first_seen_price,uf_per_m2,zona_uf_m2,bedrooms,bedrooms_n,bathrooms,bathrooms_n,m2,m2_utiles,seller,tienda_oficial,location,barrio,property_kind,operation,property_type,comuna,listing_id,source,publicado_hace,publicado_fecha_est,first_seen_date,last_seen_date,days_published,delisted_date,url,parking,gastos_comunes_clp,enriched_date,bodegas,antiguedad_anos,m2_totales,m2_terraza,piso_unidad,pisos_edificio,deptos_por_piso,orientacion,lat,lng,finished_date
Departamento Estudio Santiago Centro,60000000,CLP,1467.8,60000000.0,60000000.0,41.94,66.0,1 dormitorio,1.0,1 baño,1.0,35 m² útiles,35.0,,False,"Compañía De Jesús, 1111, Barrio Yungay, Santiago",Barrio Yungay,usada,venta,departamento,santiago-metropolitana,MLC4445101002,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-4445101002-departamento-estudio-santiago-centro-_JM,0.0,0.0,2026-09-03,0.0,26.0,35.0,,,1.0,,P,-33.4406396,-70.6714812,
"Compra Hoy, Genera Rentabilidad Desde Mañana",1470,CLF,1470.0,60088323.0,1470.0,42.0,74.0,1 dormitorio,1.0,1 baño,1.0,35 m² útiles,35.0,,False,"Lord Cochrane, 200, Bulnes, Santiago",Bulnes,usada,venta,departamento,santiago-metropolitana,MLC2215981595,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-2215981595-compra-hoy-genera-rentabilidad-desde-manana-_JM,0.0,60000.0,2026-09-03,0.0,19.0,35.0,,5.0,5.0,13.0,P,-33.4496607,-70.6549751,
Excelente Departamento 3d 2b A Pasos Del Metro,3190,CLF,3190.0,130395748.0,3190.0,42.53,54.0,3 dormitorios,3.0,2 baños,2.0,75 m² útiles,75.0,,False,"Avenida Santa Isabel , 797, San Diego, Santiago",San Diego,usada,venta,departamento,santiago-metropolitana,MLC4445087126,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-4445087126-excelente-departamento-3d-2b-a-pasos-del-metro-_JM,0.0,90000.0,2026-09-03,1.0,17.0,70.0,5.0,7.0,1.0,6.0,P,-33.4505458,-70.6467022,
Departamento Avenida Santa Isabel Id: 138154,80000000,CLP,1957.1,80000000.0,80000000.0,42.55,82.0,1 dormitorio,1.0,1 baño,1.0,46 m² útiles,46.0,Houm,True,"Avenida Santa Isabel, Santa Isabel, Santiago",Santa Isabel,usada,venta,departamento,santiago-metropolitana,MLC4444354778,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-4444354778-departamento-avenida-santa-isabel-id-138154-_JM,0.0,60000.0,2026-09-03,0.0,5.0,46.0,,21.0,,,P,-33.4486051,-70.6371969,
"Metro Cumming, Departamento 3 Dorm. Con E Y B",2350,CLF,2350.0,96059564.0,2350.0,42.73,48.0,3 dormitorios,3.0,2 baños,2.0,55 m² útiles,55.0,,False,"Catedral, Barrio Yungay, Santiago",Barrio Yungay,usada,venta,departamento,santiago-metropolitana,MLC2215972957,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-2215972957-metro-cumming-departamento-3-dorm-con-e-y-b-_JM,1.0,0.0,2026-09-03,1.0,0.0,57.0,2.0,2.0,,,SP,-33.4396568,-70.6728893,
Ubicación Excepciona En El Corazón De Santiag (174022),215000000,CLP,5259.8,215000000.0,215000000.0,42.76,,4 dormitorios,4.0,2 baños,2.0,123 m² útiles,123.0,,False,"Valentín Letelier 1375, Santiago, Chile, Centro Histórico De Santiago, Santiago",Centro Histórico De Santiago,usada,venta,departamento,santiago-metropolitana,MLC4445079728,portalinmobiliario,,,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-4445079728-ubicacion-excepciona-en-el-corazon-de-santiag-174022-_JM,,,,,,,,,,,,,,
Depto Ideal Inversion 1d 1b Central Santiago,1500,CLF,1500.0,61314615.0,1500.0,42.86,74.0,1 dormitorio,1.0,1 baño,1.0,35 m² útiles,35.0,THE OWL Real Estate,True,"Casi Esquina Nataniel Cox, Parque O'Higgins, Santiago",Parque O'Higgins,usada,venta,departamento,santiago-metropolitana,MLC4443899542,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-4443899542-depto-ideal-inversion-1d-1b-central-santiago-_JM,0.0,55000.0,2026-09-03,1.0,8.0,35.0,,,,,S,-33.4620231,-70.6515729,
Vendo  Lindo Depto  2d 2b Bod Sin Estac Santiago,2790,CLF,2790.0,114045184.0,2790.0,42.92,65.0,2 dormitorios,2.0,2 baños,2.0,65 m² útiles,65.0,,False,"Portugal, 985, Barrio Diez De Julio, Santiago",Barrio Diez De Julio,usada,venta,departamento,santiago-metropolitana,MLC2215987575,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-2215987575-vendo-lindo-depto-2d-2b-bod-sin-estac-santiago-_JM,0.0,150000.0,2026-09-03,1.0,16.0,68.0,3.0,2.0,1.0,6.0,S,-33.4549978,-70.6337592,
Excelente San Martín-san Pablo (159481),1295,CLF,1295.0,52934951.0,1295.0,43.17,71.0,1 dormitorio,1.0,1 baño,1.0,30 m² útiles,30.0,,False,"San Martín, Centro Histórico De Santiago, Santiago",Centro Histórico De Santiago,usada,venta,departamento,santiago-metropolitana,MLC4444348602,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-4444348602-excelente-san-martin-san-pablo-159481-_JM,0.0,45000.0,2026-09-03,0.0,16.0,30.0,,17.0,23.0,20.0,N,-33.4336459,-70.6589032,
"2d,1b,1est - Metro Ñuble",2078,CLF,2078.0,84941180.0,2078.0,43.29,79.0,2 dormitorios,2.0,1 baño,1.0,48 m² útiles,48.0,,False,"Santa Elena 1760, Santiago, Chile, Bogotá - Sierra Bella, Santiago",Bogotá - Sierra Bella,usada,venta,departamento,santiago-metropolitana,MLC4443898164,portalinmobiliario,hoy,2026-09-03,2026-09-03,2026-09-03,1,,https://www.portalinmobiliario.com/MLC-4443898164-2d1b1est-metro-nuble-_JM,1.0,110000.0,2026-09-03,0.0,,48.0,2.0,,,,P,-33.4668747,-70.6278536,
