title,price_uf,price_clp,m2_utiles,uf_per_m2,zona_uf_m2,bedrooms_n,parking,gastos_comunes_clp,comuna,barrio,first_seen_date,publicado_fecha_est,url
Remodelado Depto Metro Ñuble,2000.0,81760720.0,55.0,36.36,61.0,3.0,0.0,80000.0,Santiago,Bogotá - Sierra Bella,2026-09-03,2026-09-03,https://www.portalinmobiliario.com/MLC-4443890952-remodelado-depto-metro-nuble-_JM
Gran Departamento 3d+2b Estac Y Bodega,2800.0,114465008.0,77.0,36.36,51.0,3.0,1.0,128000.0,Santiago,Centro Histórico De Santiago,2026-09-01,2026-09-01,https://www.portalinmobiliario.com/MLC-4436479828-gran-departamento-3d2b-estac-y-bodega-_JM
Venta Dpto Stgo Centro 2d 1b - 62m2 - 2190uf,2190.0,89527988.0,60.0,36.5,51.0,2.0,0.0,130000.0,Santiago,Centro Histórico De Santiago,2026-09-03,2026-09-03,https://www.portalinmobiliario.com/MLC-2215975113-venta-dpto-stgo-centro-2d-1b-62m2-2190uf-_JM
Oportunidad Rebajado!!! Acogedor Departamento Barrio Yungay,1650.0,67452594.0,45.0,36.67,66.0,2.0,0.0,60000.0,Santiago,Parque Los Reyes,2026-08-29,2026-08-29,https://www.portalinmobiliario.com/MLC-4421860068-oportunidad-rebajado-acogedor-departamento-barrio-yungay-_JM
Departamento Remodelado San Antonio Metro Plaza De Armas,2054.8,84000000.0,56.0,36.69,53.0,1.0,0.0,75000.0,Santiago,Centro Histórico De Santiago,2026-09-03,2026-09-03,https://www.portalinmobiliario.com/MLC-4443912772-departamento-remodelado-san-antonio-metro-plaza-de-armas-_JM
Departamento En Venta De 2 Dorm. En Santiago,1834.6,75000000.0,50.0,36.69,74.0,2.0,0.0,90000.0,Santiago,San Diego,2026-08-25,2026-08-25,https://www.portalinmobiliario.com/MLC-2189065575-departamento-en-venta-de-2-dorm-en-santiago-_JM
"Depto Tipo Mariposa Con Vista Despejada Al Oriente, Santiago",1834.6,75000000.0,50.0,36.69,66.0,2.0,0.0,70000.0,Santiago,Barrio Yungay,2026-08-27,2026-08-27,https://www.portalinmobiliario.com/MLC-4414819122-depto-tipo-mariposa-con-vista-despejada-al-oriente-santiago-_JM
Depto Mariposa Con Estacionamiento Y Bodega,2201.8,90000000.0,60.0,36.7,48.0,2.0,1.0,100000.0,Santiago,Barrio Yungay,2026-08-23,2026-08-23,https://www.portalinmobiliario.com/MLC-2184902383-depto-mariposa-con-estacionamiento-y-bodega-_JM
Esta Propiedad Merece Tu Atención Con  Est Y Bod,2201.8,90000000.0,60.0,36.7,48.0,2.0,1.0,100000.0,Santiago,Barrio Yungay,2026-08-23,2026-08-23,https://www.portalinmobiliario.com/MLC-2185019219-esta-propiedad-merece-tu-atencion-con-est-y-bod-_JM
Inversionistas Venta De Depto En Toesca,1400.0,57232504.0,38.0,36.84,68.0,1.0,0.0,40000.0,Santiago,Meiggs,2026-08-29,2026-08-29,https://www.portalinmobiliario.com/MLC-4425460054-inversionistas-venta-de-depto-en-toesca-_JM
